,question,ans,blanks,a),b),c),d),e)
83228,I _____ your letter of November. ,a,1,I received your letter of November.,I accepted your letter of November.,I made your letter of November.,,
83229,Some keys are _____ the classroom. ,b,1,Some keys are to the classroom.,Some keys are in the classroom.,Some keys are for the classroom.,Some keys are on the classroom.,
83230,The boy mustn't get up _____ . ,b,1,The boy mustn't get up still .,The boy mustn't get up yet .,The boy mustn't get up more .,The boy mustn't get up but .,
83231,"The loss has not yet been _____ accurately, but it is believed to be well beyond a hundred million dollars. ",a,1,"The loss has not yet been calculated accurately, but it is believed to be well beyond a hundred million dollars.","The loss has not yet been considered accurately, but it is believed to be well beyond a hundred million dollars.","The loss has not yet been completed accurately, but it is believed to be well beyond a hundred million dollars.","The loss has not yet been controlled accurately, but it is believed to be well beyond a hundred million dollars.",
83232,Here's a _____ for you. ,a,1,Here's a flower for you.,Here's a cards for you.,Here's a flowers for you.,,
83233,The girl _____ the yellow coat is her sister. ,d,1,The girl at the yellow coat is her sister.,The girl on the yellow coat is her sister.,The girl to the yellow coat is her sister.,The girl in the yellow coat is her sister.,
83234,How many _____ are there on the desk?,d,1,How many meat are there on the desk?,How many fish are there on the desk?,How many rice are there on the desk?,How many eggs are there on the desk?,
83235,A smile is usually _____ strong sign of an open and friendly mind in communication. ,a,1,A smile is usually a strong sign of an open and friendly mind in communication.,A smile is usually an strong sign of an open and friendly mind in communication.,A smile is usually the strong sign of an open and friendly mind in communication.,A smile is usually / strong sign of an open and friendly mind in communication.,
83236,I like to watch sports games _____ TV. ,a,1,I like to watch sports games on TV.,I like to watch sports games at TV.,I like to watch sports games in TV.,I like to watch sports games to TV.,
83237,I don't like science _____ it's difficult. ,d,1,I don't like science so it's difficult.,I don't like science but it's difficult.,I don't like science and it's difficult.,I don't like science because it's difficult.,
83238,It's raining again. What bad _____ !,c,1,It's raining again. What bad fighting !,It's raining again. What bad keep !,It's raining again. What bad weather !,It's raining again. What bad affect !,
83239,I have shared everything _____ I know with you. ,b,1,I have shared everything what I know with you.,I have shared everything that I know with you.,I have shared everything which I know with you.,I have shared everything who I know with you.,
83240,Look! it's _____ elephant. ,b,1,Look! it's a elephant.,Look! it's an elephant.,Look! it's / elephant.,,
83241,The post office is two _____ away. ,c,1,The post office is two pieces away.,The post office is two stones away.,The post office is two blocks away.,The post office is two articles away.,
83242,It is going to _____ this afternoon. ,b,1,It is going to snowing this afternoon.,It is going to snow this afternoon.,It is going to snowy this afternoon.,,
83243,The weather gets _____ hotter these days. ,b,1,The weather gets very hotter these days.,The weather gets even hotter these days.,The weather gets quite hotter these days.,The weather gets so hotter these days.,
83244,We enjoyed _____ in the park yesterday. ,c,1,We enjoyed us in the park yesterday.,We enjoyed our in the park yesterday.,We enjoyed ourselves in the park yesterday.,,
83245,Are your parents used to _____ in the city? ,a,1,Are your parents used to living in the city?,Are your parents used to live in the city?,Are your parents used to lives in the city?,Are your parents used to lived in the city?,
83246,Sam _____ peanuts. ,b,1,Sam like peanuts.,Sam likes peanuts.,Sam liking peanuts.,,
83247,Just give me a _____ answer. I have no time to listen to any explanation.,c,1,Just give me a sharp answer. I have no time to listen to any explanation.,Just give me a clever answer. I have no time to listen to any explanation.,Just give me a direct answer. I have no time to listen to any explanation.,Just give me a private answer. I have no time to listen to any explanation.,
83248,I often go for a walk _____ dinner. ,a,1,I often go for a walk after dinner.,I often go for a walk at dinner.,I often go for a walk of dinner.,,
83249,"Hi, John, please come in. And then _____ the door.",a,1,"Hi, John, please come in. And then shut the door.","Hi, John, please come in. And then open the door.","Hi, John, please come in. And then clean the door.",,
83250,The little girl doesn't like talking. She is always _____ /'saɪlənt/after class.,c,1,The little girl doesn't like talking. She is always silver /'saɪlənt/after class.,The little girl doesn't like talking. She is always silence /'saɪlənt/after class.,The little girl doesn't like talking. She is always silent /'saɪlənt/after class.,The little girl doesn't like talking. She is always scissors /'saɪlənt/after class.,
83251,My parents usually get up _____ 6:40. ,c,1,My parents usually get up on 6:40.,My parents usually get up in 6:40.,My parents usually get up at 6:40.,,
83252,"""Perhaps we need to send for Dr. Smith to see what we can do about it, "" Father suggested _____ to his neighbor who had come to discuss the problem.",a,1,"""Perhaps we need to send for Dr. Smith to see what we can do about it, "" Father suggested tentatively to his neighbor who had come to discuss the problem.","""Perhaps we need to send for Dr. Smith to see what we can do about it, "" Father suggested thoughtlessly to his neighbor who had come to discuss the problem.","""Perhaps we need to send for Dr. Smith to see what we can do about it, "" Father suggested definitely to his neighbor who had come to discuss the problem.","""Perhaps we need to send for Dr. Smith to see what we can do about it, "" Father suggested rudely to his neighbor who had come to discuss the problem.",
83253,Look at this boy. He _____ very strong.,b,1,Look at this boy. He look very strong.,Look at this boy. He looks very strong.,Look at this boy. He likes very strong.,,
83254,Pandas are _____ creatures. ,b,1,Pandas are part creatures.,Pandas are precious creatures.,Pandas are park creatures.,,
83255,"The young couple, who returned my lost wallet, left _____ I could ask for their names. ",b,1,"The young couple, who returned my lost wallet, left while I could ask for their names.","The young couple, who returned my lost wallet, left Before I could ask for their names.","The young couple, who returned my lost wallet, left after I could ask for their names.","The young couple, who returned my lost wallet, left since I could ask for their names.",
